(108.0, 0.0)
(107.36689937267084, 11.67685398978571)
(105.47502001668936, 23.2168075427906)
(102.34654248774267, 34.48456525468583)
(98.01814532446336, 45.34802296850857)
(92.54057502609965, 55.679816575118345)
(85.97805109620953, 65.35881524092663)
(78.40751312769814, 74.27154155616972)
(69.9177187564374, 82.31350195378474)
(60.608203059137296, 89.39041180094418)
(50.58811159557734, 95.41930080017048)
(39.974920776710746, 100.32948574021347)
(28.893060561155867, 104.06339919207608)
(17.472455627698604, 106.57726443448482)
(5.847002127225078, 107.84160869592137)
(-5.847002127225088, 107.84160869592137)
(-17.47245562769859, 106.57726443448482)
(-28.893060561155853, 104.06339919207608)
(-39.97492077671074, 100.32948574021349)
(-50.588111595577324, 95.41930080017048)
(-60.60820305913729, 89.39041180094418)
(-69.91771875643738, 82.31350195378474)
(-78.40751312769814, 74.27154155616971)
(-85.97805109620953, 65.35881524092663)
(-92.54057502609962, 55.67981657511838)
(-98.01814532446338, 45.34802296850856)
(-102.34654248774265, 34.48456525468586)
(-105.47502001668936, 23.216807542790622)
(-107.36689937267084, 11.67685398978568)
(-108.0, 1.3226185430791415e-14)
(-107.36689937267084, -11.676853989785702)
(-105.47502001668936, -23.216807542790594)
(-102.34654248774267, -34.48456525468583)
(-98.01814532446338, -45.34802296850854)
(-92.54057502609963, -55.67981657511836)
(-85.97805109620955, -65.35881524092662)
(-78.40751312769815, -74.2715415561697)
(-69.91771875643737, -82.31350195378475)
(-60.60820305913731, -89.39041180094416)
(-50.58811159557739, -95.41930080017045)
(-39.97492077671076, -100.32948574021347)
(-28.893060561155902, -104.06339919207606)
(-17.472455627698594, -106.57726443448482)
(-5.847002127225139, -107.84160869592137)
(5.847002127225099, -107.84160869592137)
(17.472455627698647, -106.57726443448482)
(28.893060561155867, -104.06339919207608)
(39.974920776710725, -100.32948574021349)
(50.58811159557727, -95.41930080017052)
(60.60820305913729, -89.3904118009442)
(69.91771875643741, -82.31350195378471)
(78.40751312769814, -74.27154155616972)
(85.97805109620948, -65.35881524092669)
(92.54057502609965, -55.679816575118345)
(98.01814532446335, -45.348022968508616)
(102.34654248774264, -34.48456525468592)
(105.47502001668937, -23.21680754279054)
(107.36689937267084, -11.676853989785693)
(121.0, 0.0)
(120.37918813041931, 12.241366960479292)
(118.52312289155184, 24.357120930727866)
(115.45085002440591, 36.22293787977632)
(111.1938952060479, 47.71705846871154)
(105.79594055349443, 58.721537466260806)
(99.31237638608043, 69.12345402646989)
(91.8097328458277, 78.8160704093889)
(83.36499720815809, 87.69992725472352)
(74.06482388826721, 95.68386416946153)
(64.00464524956244, 102.68595515686486)
(53.28769233847375, 108.63434928805974)
(42.023935594223225, 113.46800798979675)
(30.328956403305185, 117.13733138281071)
(18.322761078053755, 119.60466724370147)
(6.128549429484245, 120.84469736769738)
(-6.12854942948423, 120.84469736769738)
(-18.32276107805379, 119.60466724370147)
